alpha,cl,cd,cm
-180.0,0.0,0.0,0.0
-175.0,0.1736,-0.0044,0.0218
-170.0,0.342,-0.0162,0.0434
-165.0,0.5,-0.0383,0.0647
-160.0,0.6428,-0.0675,0.0855
-155.0,0.766,-0.1008,0.1057
-150.0,0.866,-0.1428,0.125
-145.0,0.9397,-0.185,0.1434
-140.0,0.9848,-0.2321,0.1607
-135.0,1.0,-0.2809,0.1768
-130.0,0.9848,-0.3319,0.1915
-125.0,0.9397,-0.3794,0.2048
-120.0,0.866,-0.4212,0.2165
-115.0,0.766,-0.4636,0.2266
-110.0,0.6428,-0.499,0.2349
-105.0,0.5,-0.5257,0.2415
-100.0,0.342,-0.5478,0.2462
-95.0,0.1736,-0.5597,0.249
-90.0,0.0,-0.5666,0.25
-85.0,-0.1736,-0.5597,0.249
-80.0,-0.342,-0.5478,0.2462
-75.0,-0.5,-0.5257,0.2415
-70.0,-0.6428,-0.499,0.2349
-65.0,-0.766,-0.4636,0.2266
-60.0,-0.866,-0.4212,0.2165
-55.0,-0.9397,-0.3794,0.2048
-50.0,-0.9848,-0.1464,0.1915
-45.0,-0.8867,0.071,0.2322
-40.0,-0.872,0.4917,0.1416
-39.0,-0.8553,0.559,0.1346
-38.0,-0.739,0.663,0.1276
-37.0,-0.7003,0.7452,0.14
-36.0,-0.5814,0.8125,0.1498
-35.0,-0.4631,0.8948,0.1619
-34.0,-0.3442,0.9459,0.1911
-33.0,-0.1,0.9725,0.1841
-32.0,0.0886,0.1664,-0.1007
-30.0,0.2392,0.2588,-0.0723
-28.0,0.3684,0.3514,-0.0416
-26.0,0.666,0.3648,-0.0332
-24.0,0.9083,0.3788,-0.0249
-22.0,1.1178,0.3608,-0.033
-20.0,1.3274,0.3408,-0.0433
-18.0,1.447,0.3056,-0.0659
-16.0,1.5717,0.2704,-0.0911
-14.0,1.6991,0.2419,-0.0978
-12.0,1.8271,0.2107,-0.1065
-10.0,0.748,0.1782,0.0637
-8.0,-0.3318,0.1453,0.2318
-6.0,-0.6657,0.1009,0.1692
-4.0,-0.9943,0.0546,0.1039
-2.0,-0.5006,0.0461,0.0142
0.0,-0.0067,0.0354,-0.0706
2.0,0.382,0.0352,-0.1134
4.0,0.7251,0.0373,-0.1445
6.0,1.023,0.0362,-0.166
8.0,1.2499,0.041,-0.172
10.0,1.3244,0.0523,-0.16
12.0,1.1737,0.0708,-0.1295
14.0,0.7981,0.1223,-0.1016
16.0,-0.3479,0.2719,-0.1095
18.0,-1.7143,0.4217,-0.1817
20.0,-1.4986,0.475,-0.2247
22.0,-1.3111,0.504,-0.2299
24.0,-1.1088,0.5256,-0.2378
26.0,-0.735,0.5003,-0.219
28.0,-0.3569,0.4744,-0.1999
30.0,0.1162,0.3786,-0.1664
32.0,0.5947,0.285,-0.1354
33.0,0.9412,0.501,0.259
34.0,1.2183,0.4476,0.255
35.0,1.4155,0.3748,0.2531
36.0,1.453,0.3209,0.2491
37.0,1.4326,0.2139,0.2452
38.0,1.5914,0.1651,0.2413
39.0,1.631,0.1353,0.2374
40.0,1.5645,0.0833,0.2335
45.0,1.151,-0.0751,0.1228
50.0,1.0119,-0.2093,0.029
55.0,0.8654,-0.3792,-0.0574
60.0,0.866,-0.4212,-0.1344
65.0,0.766,-0.4636,-0.1903
70.0,0.6428,-0.499,-0.2349
75.0,0.5,-0.5257,-0.2415
80.0,0.342,-0.5478,-0.2462
85.0,0.1736,-0.5597,-0.249
90.0,0.0,-0.5666,-0.25
95.0,-0.1736,-0.5597,-0.249
100.0,-0.342,-0.5478,-0.2462
105.0,-0.5,-0.5257,-0.2415
110.0,-0.6428,-0.499,-0.2349
115.0,-0.766,-0.4636,-0.2266
120.0,-0.866,-0.4212,-0.2165
125.0,-0.9397,-0.3794,-0.2048
130.0,-0.9848,-0.3319,-0.1915
135.0,-1.0,-0.2809,-0.1768
140.0,-0.9848,-0.2321,-0.1607
145.0,-0.9397,-0.185,-0.1434
150.0,-0.866,-0.1428,-0.125
155.0,-0.766,-0.1008,-0.1057
160.0,-0.6428,-0.0675,-0.0855
165.0,-0.5,-0.0383,-0.0647
170.0,-0.342,-0.0162,-0.0434
175.0,-0.1736,-0.0044,-0.0218
180.0,0.0,0.0,0.0
