alpha,cl,cd,cm
-180.0,0.0,0.0,0.0
-175.0,0.1736,0.002,0.0218
-170.0,0.342,0.0085,0.0434
-165.0,0.5,0.0176,0.0647
-160.0,0.6428,0.0304,0.0855
-155.0,0.766,0.0477,0.1057
-150.0,0.866,0.0658,0.125
-145.0,0.9397,0.0882,0.1434
-140.0,0.9848,0.1109,0.1607
-135.0,1.0,0.1342,0.1768
-130.0,0.9848,0.1563,0.1915
-125.0,0.9397,0.1788,0.2048
-120.0,0.866,0.2014,0.2165
-115.0,0.766,0.2193,0.2266
-110.0,0.6428,0.2354,0.2349
-105.0,0.5,0.2496,0.2415
-100.0,0.342,0.2587,0.2462
-95.0,0.1736,0.2652,0.249
-90.0,0.0,0.2658,0.25
-85.0,-0.1736,0.2652,0.249
-80.0,-0.342,0.2587,0.2462
-75.0,-0.5,0.2496,0.2415
-70.0,-0.6428,0.2354,0.2349
-65.0,-0.766,0.2193,0.2266
-60.0,-0.866,0.2014,0.2165
-55.0,-0.9397,0.1788,0.2048
-50.0,-0.9848,0.2591,0.1915
-45.0,-0.9372,0.3292,0.2075
-40.0,-0.9387,0.5142,0.1416
-39.0,-0.9305,0.5419,0.1346
-38.0,-0.8626,0.5899,0.1276
-37.0,-0.8422,0.6258,0.1313
-36.0,-0.7729,0.6535,0.1336
-35.0,-0.7039,0.6895,0.1372
-34.0,-0.6346,0.7082,0.1502
-33.0,-0.4914,0.7133,0.1432
-32.0,-0.3806,0.2214,-0.0328
-30.0,-0.2957,0.2577,-0.0227
-28.0,-0.2227,0.2941,-0.0113
-26.0,-0.052,0.2887,-0.0115
-24.0,0.0881,0.2836,-0.0118
-22.0,0.2159,0.2631,-0.02
-20.0,0.3438,0.2415,-0.0295
-18.0,0.4245,0.2133,-0.0443
-16.0,0.5081,0.1851,-0.0606
-14.0,0.5968,0.1627,-0.0647
-12.0,0.6858,0.1388,-0.0699
-10.0,0.1052,0.1157,0.0252
-8.0,-0.4758,0.0924,0.1191
-6.0,-0.5698,0.065,0.0764
-4.0,-0.6609,0.0365,0.0322
-2.0,-0.2642,0.0313,-0.0241
0.0,0.1326,0.0249,-0.0777
2.0,0.4645,0.0248,-0.1054
4.0,0.7674,0.0262,-0.1257
6.0,1.0401,0.0261,-0.1397
8.0,1.2666,0.0295,-0.1441
10.0,1.3956,0.037,-0.1368
12.0,1.3811,0.0492,-0.1175
14.0,1.2058,0.0821,-0.0986
16.0,0.5227,0.1767,-0.1005
18.0,-0.3173,0.2779,-0.1427
20.0,-0.2478,0.3254,-0.1709
22.0,-0.1686,0.3588,-0.1787
24.0,-0.0812,0.3881,-0.1879
26.0,0.1178,0.391,-0.1824
28.0,0.3192,0.3936,-0.1767
30.0,0.5762,0.3582,-0.1631
32.0,0.8362,0.324,-0.1509
33.0,1.0347,0.4688,0.0826
34.0,1.1936,0.4487,0.0786
35.0,1.3037,0.4178,0.0757
36.0,1.3208,0.3973,0.0717
37.0,1.3058,0.3473,0.0678
38.0,1.3945,0.3296,0.0639
39.0,1.4127,0.3223,0.06
40.0,1.3676,0.3027,0.0561
45.0,1.0972,0.2604,-0.0137
50.0,0.9957,0.2303,-0.0706
55.0,0.8901,0.1804,-0.1234
60.0,0.866,0.2014,-0.171
65.0,0.766,0.2193,-0.2065
70.0,0.6428,0.2354,-0.2349
75.0,0.5,0.2496,-0.2415
80.0,0.342,0.2587,-0.2462
85.0,0.1736,0.2652,-0.249
90.0,0.0,0.2658,-0.25
95.0,-0.1736,0.2652,-0.249
100.0,-0.342,0.2587,-0.2462
105.0,-0.5,0.2496,-0.2415
110.0,-0.6428,0.2354,-0.2349
115.0,-0.766,0.2193,-0.2266
120.0,-0.866,0.2014,-0.2165
125.0,-0.9397,0.1788,-0.2048
130.0,-0.9848,0.1563,-0.1915
135.0,-1.0,0.1342,-0.1768
140.0,-0.9848,0.1109,-0.1607
145.0,-0.9397,0.0882,-0.1434
150.0,-0.866,0.0658,-0.125
155.0,-0.766,0.0477,-0.1057
160.0,-0.6428,0.0304,-0.0855
165.0,-0.5,0.0176,-0.0647
170.0,-0.342,0.0085,-0.0434
175.0,-0.1736,0.002,-0.0218
180.0,0.0,0.0,0.0
