alpha,cl,cd,cm
-180.0,0.0,0.0,0.0
-175.0,0.1736,0.0105,0.0218
-170.0,0.342,0.0415,0.0434
-165.0,0.5,0.0922,0.0647
-160.0,0.6428,0.1611,0.0855
-155.0,0.766,0.2458,0.1057
-150.0,0.866,0.3441,0.125
-145.0,0.9397,0.4528,0.1434
-140.0,0.9848,0.5686,0.1607
-135.0,1.0,0.6881,0.1768
-130.0,0.9848,0.8077,0.1915
-125.0,0.9397,0.9235,0.2048
-120.0,0.866,1.0322,0.2165
-115.0,0.766,1.1305,0.2266
-110.0,0.6428,1.2153,0.2349
-105.0,0.5,1.2841,0.2415
-100.0,0.342,1.3348,0.2462
-95.0,0.1736,1.3658,0.249
-90.0,0.0,1.3764,0.25
-85.0,-0.1736,1.3658,0.249
-80.0,-0.342,1.3348,0.2462
-75.0,-0.5,1.2841,0.2415
-70.0,-0.6428,1.2153,0.2349
-65.0,-0.766,1.1305,0.2266
-60.0,-0.866,1.0322,0.2165
-55.0,-0.9397,0.9235,0.2048
-50.0,-0.9848,0.8001,0.1915
-45.0,-1.0046,0.6737,0.1745
-40.0,-1.0277,0.5443,0.1416
-39.0,-1.0308,0.519,0.1346
-38.0,-1.0276,0.4924,0.1276
-37.0,-1.0315,0.4665,0.1197
-36.0,-1.0284,0.4413,0.112
-35.0,-1.0252,0.4155,0.1042
-34.0,-1.0221,0.391,0.0956
-33.0,-1.0136,0.3675,0.0886
-32.0,-1.0066,0.2948,0.0577
-30.0,-1.0094,0.2562,0.0435
-28.0,-1.0114,0.2176,0.0291
-26.0,-1.01,0.1871,0.0174
-24.0,-1.0062,0.1566,0.0057
-22.0,-0.9874,0.1327,-0.0027
-20.0,-0.9686,0.109,-0.0111
-18.0,-0.9397,0.0902,-0.0155
-16.0,-0.911,0.0713,-0.0199
-14.0,-0.874,0.0571,-0.0205
-12.0,-0.837,0.0429,-0.021
-10.0,-0.7524,0.0324,-0.0262
-8.0,-0.6679,0.0218,-0.0313
-6.0,-0.4419,0.0171,-0.0474
-4.0,-0.2161,0.0124,-0.0634
-2.0,0.0512,0.0116,-0.0752
0.0,0.3184,0.0109,-0.0871
2.0,0.5745,0.011,-0.0947
4.0,0.8238,0.0115,-0.1006
6.0,1.063,0.0126,-0.1047
8.0,1.2889,0.0142,-0.1068
10.0,1.4906,0.0166,-0.1058
12.0,1.6578,0.0204,-0.1015
14.0,1.7497,0.0285,-0.0945
16.0,1.6844,0.0497,-0.0886
18.0,1.5466,0.086,-0.0907
20.0,1.4211,0.1257,-0.0992
22.0,1.3558,0.1651,-0.1103
24.0,1.2899,0.2047,-0.1214
26.0,1.2557,0.2452,-0.1335
28.0,1.2213,0.2858,-0.1457
30.0,1.19,0.3309,-0.1587
32.0,1.1584,0.376,-0.1716
33.0,1.1595,0.4258,-0.1528
34.0,1.1606,0.4502,-0.1568
35.0,1.1545,0.4751,-0.161
36.0,1.1444,0.4992,-0.165
37.0,1.1366,0.5253,-0.1689
38.0,1.1318,0.5491,-0.1728
39.0,1.1215,0.5719,-0.1767
40.0,1.1049,0.5954,-0.1806
45.0,1.0255,0.708,-0.1958
50.0,0.9741,0.8168,-0.2035
55.0,0.9231,0.9271,-0.2115
60.0,0.866,1.0322,-0.2199
65.0,0.766,1.1305,-0.2281
70.0,0.6428,1.2153,-0.2349
75.0,0.5,1.2841,-0.2415
80.0,0.342,1.3348,-0.2462
85.0,0.1736,1.3658,-0.249
90.0,0.0,1.3764,-0.25
95.0,-0.1736,1.3658,-0.249
100.0,-0.342,1.3348,-0.2462
105.0,-0.5,1.2841,-0.2415
110.0,-0.6428,1.2153,-0.2349
115.0,-0.766,1.1305,-0.2266
120.0,-0.866,1.0322,-0.2165
125.0,-0.9397,0.9235,-0.2048
130.0,-0.9848,0.8077,-0.1915
135.0,-1.0,0.6881,-0.1768
140.0,-0.9848,0.5686,-0.1607
145.0,-0.9397,0.4528,-0.1434
150.0,-0.866,0.3441,-0.125
155.0,-0.766,0.2458,-0.1057
160.0,-0.6428,0.1611,-0.0855
165.0,-0.5,0.0922,-0.0647
170.0,-0.342,0.0415,-0.0434
175.0,-0.1736,0.0105,-0.0218
180.0,0.0,0.0,0.0
