alpha,cl,cd,cm
-180.0,0.0,0.0,0.0
-175.0,0.1736,0.0114,0.0218
-170.0,0.342,0.045,0.0434
-165.0,0.5,0.1001,0.0647
-160.0,0.6428,0.1749,0.0855
-155.0,0.766,0.2669,0.1057
-150.0,0.866,0.3737,0.125
-145.0,0.9397,0.4917,0.1434
-140.0,0.9848,0.6175,0.1607
-135.0,1.0,0.7473,0.1768
-130.0,0.9848,0.8772,0.1915
-125.0,0.9397,1.0029,0.2048
-120.0,0.866,1.121,0.2165
-115.0,0.766,1.2277,0.2266
-110.0,0.6428,1.3198,0.2349
-105.0,0.5,1.3945,0.2415
-100.0,0.342,1.4496,0.2462
-95.0,0.1736,1.4833,0.249
-90.0,0.0,1.4947,0.25
-85.0,-0.1736,1.4833,0.249
-80.0,-0.342,1.4496,0.2462
-75.0,-0.5,1.3945,0.2415
-70.0,-0.6428,1.3198,0.2349
-65.0,-0.766,1.2277,0.2266
-60.0,-0.866,1.121,0.2165
-55.0,-0.9397,1.0029,0.2048
-50.0,-0.9848,0.8577,0.1915
-45.0,-1.0117,0.7103,0.171
-40.0,-1.0372,0.5474,0.1416
-39.0,-1.0414,0.5166,0.1346
-38.0,-1.0454,0.4821,0.1276
-37.0,-1.0516,0.4495,0.1186
-36.0,-1.0556,0.4187,0.1096
-35.0,-1.0596,0.3861,0.1007
-34.0,-1.0635,0.3573,0.0897
-33.0,-1.0692,0.3306,0.0827
-32.0,-1.0735,0.3027,0.0674
-30.0,-1.0855,0.256,0.0505
-28.0,-1.0955,0.2094,0.0335
-26.0,-1.1122,0.1761,0.0205
-24.0,-1.1229,0.1429,0.0074
-22.0,-1.1157,0.1189,-0.0009
-20.0,-1.1085,0.0949,-0.0092
-18.0,-1.0853,0.0771,-0.0124
-16.0,-1.0623,0.0592,-0.0158
-14.0,-1.0308,0.0459,-0.0158
-12.0,-0.9994,0.0326,-0.0157
-10.0,-0.8438,0.0234,-0.0316
-8.0,-0.6883,0.0141,-0.0473
-6.0,-0.4284,0.012,-0.0605
-4.0,-0.1686,0.0099,-0.0737
-2.0,0.0848,0.0096,-0.0808
0.0,0.3382,0.0093,-0.088
2.0,0.5862,0.0095,-0.0934
4.0,0.8298,0.01,-0.0978
6.0,1.0655,0.011,-0.101
8.0,1.2913,0.0125,-0.1028
10.0,1.5007,0.0145,-0.1025
12.0,1.6873,0.0174,-0.0999
14.0,1.8077,0.0229,-0.0941
16.0,1.8083,0.036,-0.0875
18.0,1.7455,0.0656,-0.0852
20.0,1.5991,0.1045,-0.0916
22.0,1.5184,0.1446,-0.1029
24.0,1.4362,0.185,-0.1143
26.0,1.3771,0.2297,-0.1284
28.0,1.3175,0.2743,-0.1424
30.0,1.2554,0.3279,-0.1582
32.0,1.1928,0.3814,-0.1738
33.0,1.1728,0.4211,-0.1779
34.0,1.157,0.4504,-0.182
35.0,1.1386,0.4812,-0.1862
36.0,1.1256,0.51,-0.1903
37.0,1.1185,0.5441,-0.1942
38.0,1.1037,0.5726,-0.1982
39.0,1.0905,0.5987,-0.2021
40.0,1.0768,0.6266,-0.206
45.0,1.0178,0.7557,-0.2152
50.0,0.9717,0.8792,-0.2178
55.0,0.9266,1.0068,-0.221
60.0,0.866,1.121,-0.2253
65.0,0.766,1.2277,-0.2305
70.0,0.6428,1.3198,-0.2349
75.0,0.5,1.3945,-0.2415
80.0,0.342,1.4496,-0.2462
85.0,0.1736,1.4833,-0.249
90.0,0.0,1.4947,-0.25
95.0,-0.1736,1.4833,-0.249
100.0,-0.342,1.4496,-0.2462
105.0,-0.5,1.3945,-0.2415
110.0,-0.6428,1.3198,-0.2349
115.0,-0.766,1.2277,-0.2266
120.0,-0.866,1.121,-0.2165
125.0,-0.9397,1.0029,-0.2048
130.0,-0.9848,0.8772,-0.1915
135.0,-1.0,0.7473,-0.1768
140.0,-0.9848,0.6175,-0.1607
145.0,-0.9397,0.4917,-0.1434
150.0,-0.866,0.3737,-0.125
155.0,-0.766,0.2669,-0.1057
160.0,-0.6428,0.1749,-0.0855
165.0,-0.5,0.1001,-0.0647
170.0,-0.342,0.045,-0.0434
175.0,-0.1736,0.0114,-0.0218
180.0,0.0,0.0,0.0
