alpha,cl,cd,cm
-180.0,0.0,0.0,0.0
-175.0,0.1736,0.0111,0.0218
-170.0,0.342,0.0439,0.0434
-165.0,0.5,0.0977,0.0647
-160.0,0.6428,0.1708,0.0855
-155.0,0.766,0.2606,0.1057
-150.0,0.866,0.3649,0.125
-145.0,0.9397,0.4801,0.1434
-140.0,0.9848,0.6029,0.1607
-135.0,1.0,0.7296,0.1768
-130.0,0.9848,0.8565,0.1915
-125.0,0.9397,0.9792,0.2048
-120.0,0.866,1.0945,0.2165
-115.0,0.766,1.1987,0.2266
-110.0,0.6428,1.2886,0.2349
-105.0,0.5,1.3615,0.2415
-100.0,0.342,1.4153,0.2462
-95.0,0.1736,1.4482,0.249
-90.0,0.0,1.4594,0.25
-85.0,-0.1736,1.4482,0.249
-80.0,-0.342,1.4153,0.2462
-75.0,-0.5,1.3615,0.2415
-70.0,-0.6428,1.2886,0.2349
-65.0,-0.766,1.1987,0.2266
-60.0,-0.866,1.0945,0.2165
-55.0,-0.9397,0.9792,0.2048
-50.0,-0.9848,0.8405,0.1915
-45.0,-1.0096,0.6994,0.1721
-40.0,-1.0344,0.5465,0.1416
-39.0,-1.0382,0.5173,0.1346
-38.0,-1.0401,0.4852,0.1276
-37.0,-1.0456,0.4546,0.1189
-36.0,-1.0475,0.4255,0.1103
-35.0,-1.0493,0.3949,0.1018
-34.0,-1.0511,0.3674,0.0915
-33.0,-1.0526,0.3416,0.0845
-32.0,-1.0535,0.3003,0.0645
-30.0,-1.0628,0.2561,0.0484
-28.0,-1.0704,0.2118,0.0322
-26.0,-1.0817,0.1794,0.0196
-24.0,-1.0881,0.147,0.0069
-22.0,-1.0774,0.123,-0.0014
-20.0,-1.0667,0.0991,-0.0098
-18.0,-1.0418,0.081,-0.0133
-16.0,-1.0171,0.0628,-0.017
-14.0,-0.984,0.0492,-0.0172
-12.0,-0.9509,0.0357,-0.0173
-10.0,-0.8165,0.0261,-0.03
-8.0,-0.6822,0.0164,-0.0425
-6.0,-0.4324,0.0135,-0.0566
-4.0,-0.1828,0.0106,-0.0706
-2.0,0.0748,0.0102,-0.0791
0.0,0.3323,0.0098,-0.0877
2.0,0.5827,0.0099,-0.0938
4.0,0.828,0.0104,-0.0986
6.0,1.0648,0.0115,-0.1021
8.0,1.2906,0.013,-0.104
10.0,1.4977,0.0151,-0.1035
12.0,1.6785,0.0183,-0.1004
14.0,1.7904,0.0246,-0.0942
16.0,1.7713,0.0401,-0.0878
18.0,1.6861,0.0717,-0.0868
20.0,1.546,0.1108,-0.0939
22.0,1.4699,0.1507,-0.1051
24.0,1.3925,0.1909,-0.1164
26.0,1.3409,0.2343,-0.1299
28.0,1.2888,0.2777,-0.1434
30.0,1.2359,0.3288,-0.1583
32.0,1.1825,0.3798,-0.1731
33.0,1.1688,0.4225,-0.1704
34.0,1.1581,0.4503,-0.1745
35.0,1.1434,0.4794,-0.1787
36.0,1.1312,0.5068,-0.1827
37.0,1.1239,0.5385,-0.1866
38.0,1.1121,0.5656,-0.1906
39.0,1.0998,0.5907,-0.1945
40.0,1.0852,0.6173,-0.1984
45.0,1.0201,0.7415,-0.2094
50.0,0.9724,0.8606,-0.2135
55.0,0.9255,0.983,-0.2182
60.0,0.866,1.0945,-0.2237
65.0,0.766,1.1987,-0.2298
70.0,0.6428,1.2886,-0.2349
75.0,0.5,1.3615,-0.2415
80.0,0.342,1.4153,-0.2462
85.0,0.1736,1.4482,-0.249
90.0,0.0,1.4594,-0.25
95.0,-0.1736,1.4482,-0.249
100.0,-0.342,1.4153,-0.2462
105.0,-0.5,1.3615,-0.2415
110.0,-0.6428,1.2886,-0.2349
115.0,-0.766,1.1987,-0.2266
120.0,-0.866,1.0945,-0.2165
125.0,-0.9397,0.9792,-0.2048
130.0,-0.9848,0.8565,-0.1915
135.0,-1.0,0.7296,-0.1768
140.0,-0.9848,0.6029,-0.1607
145.0,-0.9397,0.4801,-0.1434
150.0,-0.866,0.3649,-0.125
155.0,-0.766,0.2606,-0.1057
160.0,-0.6428,0.1708,-0.0855
165.0,-0.5,0.0977,-0.0647
170.0,-0.342,0.0439,-0.0434
175.0,-0.1736,0.0111,-0.0218
180.0,0.0,0.0,0.0
