alpha,cl,cd,cm
-180.0,0.0,0.0,0.0
-175.0,0.1736,0.0066,0.0218
-170.0,0.342,0.0264,0.0434
-165.0,0.5,0.0581,0.0647
-160.0,0.6428,0.1013,0.0855
-155.0,0.766,0.1552,0.1057
-150.0,0.866,0.2168,0.125
-145.0,0.9397,0.286,0.1434
-140.0,0.9848,0.3592,0.1607
-135.0,1.0,0.4347,0.1768
-130.0,0.9848,0.5097,0.1915
-125.0,0.9397,0.5828,0.2048
-120.0,0.866,0.6521,0.2165
-115.0,0.766,0.7136,0.2266
-110.0,0.6428,0.767,0.2349
-105.0,0.5,0.8108,0.2415
-100.0,0.342,0.8425,0.2462
-95.0,0.1736,0.8623,0.249
-90.0,0.0,0.8683,0.25
-85.0,-0.1736,0.8623,0.249
-80.0,-0.342,0.8425,0.2462
-75.0,-0.5,0.8108,0.2415
-70.0,-0.6428,0.767,0.2349
-65.0,-0.766,0.7136,0.2266
-60.0,-0.866,0.6521,0.2165
-55.0,-0.9397,0.5828,0.2048
-50.0,-0.9848,0.5526,0.1915
-45.0,-0.9738,0.5161,0.1896
-40.0,-0.987,0.5305,0.1416
-39.0,-0.9849,0.5295,0.1346
-38.0,-0.9521,0.537,0.1276
-37.0,-0.9449,0.5394,0.125
-36.0,-0.9115,0.5384,0.1219
-35.0,-0.8782,0.5409,0.1193
-34.0,-0.8448,0.5361,0.1206
-33.0,-0.7747,0.5257,0.1136
-32.0,-0.7202,0.2612,0.0163
-30.0,-0.6829,0.2569,0.0132
-28.0,-0.6506,0.2526,0.0106
-26.0,-0.5717,0.2336,0.0042
-24.0,-0.5056,0.2147,-0.0023
-22.0,-0.4369,0.1924,-0.0106
-20.0,-0.3682,0.1696,-0.0195
-18.0,-0.3156,0.1465,-0.0287
-16.0,-0.2618,0.1234,-0.0385
-14.0,-0.2011,0.1054,-0.0407
-12.0,-0.1403,0.0868,-0.0434
-10.0,-0.3601,0.0705,-0.0027
-8.0,-0.58,0.0541,0.0375
-6.0,-0.5004,0.039,0.0092
-4.0,-0.4196,0.0234,-0.0197
-2.0,-0.0931,0.0206,-0.0518
0.0,0.2334,0.0173,-0.0828
2.0,0.5242,0.0173,-0.0996
4.0,0.798,0.0182,-0.1121
6.0,1.0525,0.0188,-0.1207
8.0,1.2787,0.0212,-0.1239
10.0,1.4471,0.0259,-0.12
12.0,1.5312,0.0336,-0.1088
14.0,1.5009,0.053,-0.0964
16.0,1.1529,0.1078,-0.094
18.0,0.6939,0.1738,-0.1145
20.0,0.6576,0.2171,-0.132
22.0,0.6584,0.2537,-0.1416
24.0,0.6626,0.2886,-0.1518
26.0,0.7351,0.3119,-0.1559
28.0,0.8086,0.3351,-0.1599
30.0,0.9092,0.3434,-0.1607
32.0,1.011,0.3522,-0.1621
33.0,1.1024,0.4455,-0.0451
34.0,1.1757,0.4495,-0.0491
35.0,1.2228,0.4489,-0.0527
36.0,1.2251,0.4526,-0.0567
37.0,1.214,0.4439,-0.0606
38.0,1.252,0.4487,-0.0645
39.0,1.2547,0.4577,-0.0684
40.0,1.2251,0.4615,-0.0723
45.0,1.0583,0.5032,-0.1125
50.0,0.984,0.5485,-0.1427
55.0,0.908,0.5855,-0.1712
60.0,0.866,0.6521,-0.1975
65.0,0.766,0.7136,-0.2182
70.0,0.6428,0.767,-0.2349
75.0,0.5,0.8108,-0.2415
80.0,0.342,0.8425,-0.2462
85.0,0.1736,0.8623,-0.249
90.0,0.0,0.8683,-0.25
95.0,-0.1736,0.8623,-0.249
100.0,-0.342,0.8425,-0.2462
105.0,-0.5,0.8108,-0.2415
110.0,-0.6428,0.767,-0.2349
115.0,-0.766,0.7136,-0.2266
120.0,-0.866,0.6521,-0.2165
125.0,-0.9397,0.5828,-0.2048
130.0,-0.9848,0.5097,-0.1915
135.0,-1.0,0.4347,-0.1768
140.0,-0.9848,0.3592,-0.1607
145.0,-0.9397,0.286,-0.1434
150.0,-0.866,0.2168,-0.125
155.0,-0.766,0.1552,-0.1057
160.0,-0.6428,0.1013,-0.0855
165.0,-0.5,0.0581,-0.0647
170.0,-0.342,0.0264,-0.0434
175.0,-0.1736,0.0066,-0.0218
180.0,0.0,0.0,0.0
